,Date,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,BATT.I-1 (volt) ,BATT.I-2 (volt) ,BATT.I-3 (volt) ,Target
0,2010-01-01,6.8,8.0,-11.0,-9.8,-16.1,-12.9,30.0,12.44,13.8,3.15,0.0
1,2010-01-02,6.8,8.0,-4.3,-3.0,-11.2,-6.2,29.0,12.48,13.77,3.15,0.0
2,2010-01-03,7.2,8.5,-8.7,-4.3,-8.7,-6.2,32.0,12.44,13.53,3.15,0.0
3,2010-01-04,7.2,8.6,-10.2,-6.3,-11.0,-9.1,32.0,12.42,13.42,3.15,0.0
4,2010-01-05,7.2,8.6,-8.1,-5.1,-12.7,-9.0,31.0,12.4,13.46,3.15,0.0
5,2010-01-06,7.3,8.7,-5.4,-2.3,-8.1,-5.1,30.0,12.4,13.37,3.15,0.0
6,2010-01-07,7.4,8.7,-12.5,-3.6,-12.5,-6.1,33.0,12.39,13.24,3.15,0.0
7,2010-01-08,7.4,8.7,-16.2,-9.8,-17.0,-13.7,32.0,12.33,13.28,3.15,0.0
8,2010-01-09,7.4,8.7,-8.6,-7.0,-16.6,-10.9,31.0,12.32,13.42,3.15,0.0
9,2010-01-10,7.5,8.8,-6.0,-1.5,-9.1,-5.8,30.0,12.68,13.85,3.15,0.0
10,2010-01-11,7.5,8.8,-3.6,-0.1,-6.6,-4.1,30.0,12.87,13.83,3.15,0.0
11,2010-01-12,7.5,8.9,-1.8,3.5,-5.0,-1.5,29.0,12.97,13.81,3.15,0.0
12,2010-01-13,7.5,8.9,-3.7,3.0,-4.5,-0.9,29.0,13.01,13.8,3.15,0.0
13,2010-01-14,7.5,8.9,-3.9,0.6,-5.4,-2.5,29.0,13.05,13.82,3.15,0.0
14,2010-01-15,7.5,8.9,-8.6,0.3,-8.6,-4.4,29.0,13.04,13.82,3.15,0.0
